Gender,OwnCar,OwnProperty,ChildrenCount,TotalIncome,IncomeType,EducationType,FamilyStatus,HousingType,WorkPhone,Phone,Email,FamilyMembers,Target,AccountLength,Age,EMPLOYED,YearsEmployed
1,1,1,0,427500.0,3.0,3.0,3.0,3.0,1,0,0,2,1,15,32.86859611668694,1,12.43558213760867
1,1,1,0,112500.0,3.0,1.0,4.0,5.0,0,0,0,2,0,29,58.79385531109832,1,3.104788671080632
0,0,1,0,270000.0,2.0,1.0,0.0,5.0,0,1,1,1,0,4,52.3214387163588,1,8.353359996002652
0,0,1,0,283500.0,1.0,3.0,1.0,5.0,0,0,0,1,0,20,61.50438510331157,0,0.0
1,1,1,0,270000.0,3.0,3.0,4.0,5.0,1,1,1,2,0,5,46.19399864062824,1,2.10545192950706
1,1,1,0,135000.0,2.0,1.0,4.0,5.0,0,0,0,2,0,17,48.67454408683552,1,3.269063203942041
0,1,0,0,130500.0,3.0,2.0,4.0,5.0,0,0,0,2,1,25,29.210749851639562,1,3.019913495768904
0,0,1,0,157500.0,3.0,1.0,4.0,5.0,0,1,0,2,1,31,27.463963985546577,1,4.021988146223499
0,0,1,1,112500.0,3.0,1.0,0.0,5.0,0,0,0,2,0,44,30.029384607065584,1,4.4354123872580455
1,1,1,3,270000.0,3.0,1.0,4.0,5.0,0,0,0,5,0,24,34.741325791307,1,3.184188028630313
1,0,1,1,405000.0,2.0,3.0,4.0,5.0,0,0,0,3,0,39,32.42231696908011,1,5.5196243041433455
1,1,1,0,112500.0,2.0,1.0,4.0,5.0,0,1,0,2,0,43,56.13260787874349,1,12.183694520554509
0,1,1,2,135000.0,3.0,1.0,4.0,5.0,0,0,0,4,0,39,43.152181873811145,1,8.687384879487517
0,0,1,1,211500.0,4.0,1.0,3.0,5.0,0,0,0,3,0,24,44.38697877915274,1,19.43641514638572
1,1,1,0,360000.0,2.0,1.0,4.0,5.0,0,1,0,2,1,10,45.640941046661496,1,14.686143237809974
0,0,1,2,126000.0,2.0,3.0,4.0,5.0,0,0,1,4,0,21,33.980187122382475,1,4.854312446054639
0,0,1,0,315000.0,1.0,1.0,2.0,5.0,0,0,0,1,0,40,55.26742867234007,0,0.0
0,0,1,0,247500.0,2.0,3.0,1.0,3.0,0,0,0,1,0,11,46.58825751949562,1,3.6879632627386343
0,0,1,0,297000.0,2.0,1.0,0.0,3.0,0,0,0,1,0,7,42.48960792460346,1,8.85439732122995
0,0,0,0,157500.0,2.0,3.0,4.0,5.0,0,1,0,2,1,43,37.350552954922385,1,13.267906437439809
1,0,1,0,135000.0,3.0,1.0,4.0,5.0,1,1,0,2,0,12,42.393781113767645,1,3.854975704481067
1,0,1,1,225000.0,3.0,1.0,4.0,5.0,0,0,0,3,0,45,28.257957561043387,1,7.688048137913946
0,1,1,0,135000.0,3.0,1.0,4.0,5.0,0,0,0,2,0,4,48.69370944900268,1,4.687300004312206
1,0,1,0,157500.0,3.0,1.0,4.0,5.0,0,1,0,2,1,15,43.88046563616339,1,2.4340009952298782
0,0,1,0,112500.0,1.0,1.0,4.0,5.0,0,0,0,2,0,49,61.10738831556316,0,0.0
1,1,1,0,112500.0,4.0,1.0,4.0,5.0,0,1,0,2,0,10,57.15110998248423,1,6.518961045716917
0,1,1,0,270000.0,3.0,1.0,1.0,5.0,1,1,0,1,0,30,45.40000506513143,1,3.269063203942041
